"","SPECIES","SYS_NM","SPP","Area","CU_name","Year","escapement","Enhancement_Rank","esc.log","z","m.ave","esc.stand","prepost"
"94","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1974,6000,"NONE",8.69951474821019,-0.321125927283048,9.01071344792174,0.970231490797388,"Pre"
"95","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1975,4000,"NONE",8.29404964010203,-0.808937512780763,9.01071344792174,0.925011150618409,"Pre"
"96","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1976,6000,"NONE",8.69951474821019,-0.321125927283048,8.82722115415169,0.970231490797388,"Pre"
"97","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1977,8000,"NONE",8.98719682066197,0.0249819006796376,8.6700689892961,1.00231583275313,"Pre"
"98","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1978,3000,"NONE",8.00636756765025,-1.15504534074345,8.49678219415611,0.89292680866267,"Pre"
"99","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1979,4000,"NONE",8.29404964010203,-0.808937512780763,8.49678219415611,0.925011150618409,"Pre"
"100","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1980,20000,"NONE",9.90348755253613,1.12736340220493,8.79777539523759,1.10450706393335,"Post"
"101","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1981,10000,"NONE",9.21034037197618,0.293443988744532,8.85356128306615,1.02720238179863,"Post"
"102","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1982,11000,"NONE",9.30565055178051,0.408110846618815,9.17838202909871,1.03783204799452,"Post"
"103","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1983,12000,"NONE",9.39266192877014,0.512793486177352,9.45303510126574,1.04753617293211,"Post"
"104","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1984,10000,"NONE",9.21034037197618,0.293443988744532,9.27974830612575,1.02720238179863,"Post"
"105","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1985,13000,"NONE",9.47270463644367,0.609092179596225,9.34533937224263,1.05646310251856,"Post"
"106","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1986,7300,"NONE",8.89562962713648,-0.0851818025836523,9.24283414108162,0.992103610893207,"Post"
"107","Chum","ELCHO CREEK","CM","8","Spiller-Fitz Hugh-Burke",1987,5000,"NONE",8.51719319141624,-0.540475424715869,9.02396695674314,0.949897699663912,"Post"
